Id;Surname;Name;Patronymic;Gender;Mail;DateofBirth;Country;Phone;Direction;Password;Photos;RoleName;Event
1;Галкина;Верона;Васильевна;женский;obuckridge@sipes.com;05.18.1969;304;78805446183;Дизайн;HHikbP;foto21.jpg;Жюри;
2;Герасимова;Айлин;Ефимовна;женский;loraine.aufderhar@johnston.info;09.06.1966;92;78354786160;Дизайн;TuhRzy;foto22.jpg;Жюри;
3;Большаков;Августин;Алексеевич;мужской;juanita.kuvalis@yahoo.com;12.07.1978;300;71737705513;ИТ;4Y83lz;foto23.jpg;Жюри;
4;Морозов;Ким;Демьянович;мужской;ibode@lebsack.com;11.10.1981;108;75187618569;ИТ;z0q7Co;foto24.jpg;Жюри;
5;Кошелев;Лука;Артёмович;мужской;lilly.rodriguez@yahoo.com;05.30.1995;84;73756443580;ИТ;uB8I2Z;foto25.jpg;Жюри;
6;Ларионова;Марина;Владимировна;женский;sandrine84@gmail.com;06.06.1950;276;75211212890;ИТ;o7Cjwu;foto26.jpg;Жюри;
7;Маслова;Марфа;Феликсовна;женский;pearlie.watsica@wintheiser.com;11.22.1997;32;76157411177;Биг Дата;zC4bi7;foto27.jpg;Жюри;
8;Гришин;Вениамин;Петрович;мужской;kaela97@hotmail.com;10.15.1954;308;74207880409;Информационная безопасность;ubeQbm;foto28.jpg;Жюри;
9;Гришин;Владислав;Аркадьевич;мужской;gino.baumbach@gmail.com;08.31.1950;850;72070887939;ИТ;16BLjl;foto29.jpg;Жюри;
10;Корнилова;Габи;Георгьевна;женский;deja76@mante.info;12.26.1962;112;78096518596;Информационная безопасность;XLleqI;foto30.jpg;Жюри;
11;Царева;Виктория;Давидовна;женский;iunhxq41tgr5@tutanota.com;03.07.1988;340;75671037332;ИТ;FYi396Dd5u;foto9.jpg;Модераторы;IT в бизнесе
12;Зорин;Дмитрий;Маркович;мужской;ofdt4z1bijq0@tutanota.com;07.09.1993;344;7796440106;ИТ;7gi7E8K4Ng;foto10.jpg;Модераторы;IT в бизнесе
13;Зотова;Анна;Тимуровна;женский;ac6yxzg7rl5k@mail.com;21.09.1990;862;74886431998;Биг Дата;3L3eA5eEg3;foto8.jpg;Модераторы;Разработка приложений
14;Соловьев;Тимур;Константинович;мужской;b1p4ur8nsedj@yahoo.com;03.09.1992;320;718285043949;Дизайн;Si8S5kS83v;foto11.jpg;Модераторы;IT-инфраструктура
15;Малахов;Александр;Фёдорович;мужской;wyo6k9emv1j5@mail.com;18.05.1957;52;79057936823;Биг Дата;T83vfX2Z3b;foto12.jpg;Модераторы;Разработка приложений
16;Зорин;Марк;Ярославович;мужской;g7kwp8lu65xi@tutanota.com;09.03.1961;548;7545226054;Аналитика;25cPn58HxV;foto13.jpg;Модераторы;Стартапы
17;Егорова;Ева;Михайловна;женский;doj5r1m8xnky@gmail.com;15.06.1987;10;7054414814;ИТ;3z86YDzaX8;foto14.jpg;Модераторы;IT в бизнесе
18;Гущина;Кристина;Львовна;женский;bxk06h5touyr@mail.com;28.06.1966;64;70238262526;Информационная безопасность;t8F9hZXp89;foto16.jpg;Модераторы;Информационная безопасность
19;Кудрявцева;Виктория;Романовна;женский;26yf8xbcntgp@gmail.com;27.01.1953;96;778045826490;Биг Дата;92mARR3gu4;foto17.jpg;Модераторы;Разработка приложений
20;Новикова;Александра;Александровна;женский;0z4fvq65c7tg@gmail.com;02.09.1982;24;714721225607;Аналитика;Kf64Y6rhZ3;foto18.jpg;Модераторы;Стартапы
21;Масленников;Родион;Филиппович;мужской;3kma18t5furi@gmail.com;09.06.1952;72;7239127167;Аналитика;s7iAYE9d38;foto19.jpg;Модераторы;Стартапы
22;Иванов;Тимур;Иванович;мужской;ws7nxyhd6g1o@yahoo.com;30.08.1955;266;759394898518;Информационная безопасность;3Ga9jfT9D2;foto20.jpg;Модераторы;Информационная безопасность
23;Иванов;Сергей;Степанович;мужской;oitzvs1mylj2@gmail.com;01.09.1993;895;740200344835;Дизайн;N6598CFsgi;foto21.jpg;Модераторы;IT-инфраструктура
24;Спиридонов;Ярослав;Сергеевич;мужской;las6pufjkv45@outlook.com;22.04.1969;831;7178437726;Дизайн;DV5625Zfmj;foto22.jpg;Модераторы;IT-инфраструктура
25;Виноградова;Эмилия;Валерьевна;женский;nl81b9i7s0ka@gmail.com;25.10.1991;348;7167884297;Дизайн;22YyD83dMg;foto23.jpg;Модераторы;IT-инфраструктура
26;Мартынова;Ева;Семёновна;женский;ma87ser3gkj9@yahoo.com;24.03.1984;854;70872678785;Информационная безопасность;522EmkEmA6;foto24.jpg;Модераторы;Информационная безопасность
27;Яковлева;Анисия;Григорьевна;женский;dfmygtwpecj9@tutanota.com;13.09.1997;51;77987119289;Информационная безопасность;uf9u227NYU;foto25.jpg;Модераторы;Информационная безопасность
28;Свиридов;Тимофей;Александрович;мужской;82zju4yritwo@mail.com;22.07.1991;50;7688822810;Биг Дата;4UDk9p76mD;foto26.jpg;Модераторы;Разработка приложений
29;Медведев;Захар;Даниилович;мужской;zo6nye42s87t@yahoo.com;11.04.1960;86;7362307977;Аналитика;cK49u3JU4n;foto27.jpg;Модераторы;Стартапы
30;Тихонова;Елизавета;Александровна;женский;0cejwmnpqtb6@gmail.com;07.01.1955;16;725942242837;Информационная безопасность;b2JHb32S8i;foto28.jpg;Модераторы;Информационная безопасность
